Sample ID	Tissue	Age	Sex
GTEX-S3XE-1726-SM-3K2AM	Skin - Sun Exposed (Lower leg)	50-59	M
GTEX-S3XE-1826-SM-2XU8Z	Artery - Tibial	50-59	M
GTEX-S3XE-1826-SM-3K2B4	Artery - Tibial	50-59	M
GTEX-S3XE-1926-SM-2XU8H	Nerve - Tibial	50-59	M
GTEX-S3XE-1926-SM-3K2B3	Nerve - Tibial	50-59	M
GTEX-S3XE-2026-SM-2XU9P	Muscle - Skeletal	50-59	M
GTEX-S3XE-2026-SM-3K2B5	Muscle - Skeletal	50-59	M
GTEX-S4P3-0004-SM-2VCTW	Whole Blood	50-59	F
GTEX-S4P3-0004-SM-2XK2G	Whole Blood	50-59	F
GTEX-S4P3-0004-SM-4X5ZQ	Whole Blood	50-59	F
GTEX-S4P3-0004-SM-5JK4R	Whole Blood	50-59	F
GTEX-S4P3-0006-SM-2XU8F	Whole Blood	50-59	F
GTEX-S4P3-0006-SM-3K2AW	Whole Blood	50-59	F
GTEX-S4P3-0008-SM-3NM8R	Cells - Transformed fibroblasts	50-59	F
GTEX-S4P3-0226-SM-2XUAX	Thyroid	50-59	F
GTEX-S4P3-0226-SM-3K2BD	Thyroid	50-59	F
GTEX-S4P3-0326-SM-4AD6P	Artery - Aorta	50-59	F
GTEX-S4P3-0426-SM-4AD56	Esophagus - Mucosa	50-59	F
GTEX-S4P3-0526-SM-4AD58	Esophagus - Muscularis	50-59	F
GTEX-S4P3-0626-SM-4AD59	Pancreas	50-59	F
GTEX-S4P3-0726-SM-4AD57	Stomach	50-59	F
GTEX-S4P3-0926-SM-4AD54	Ovary	50-59	F
GTEX-S4P3-1126-SM-4AD52	Vagina	50-59	F
GTEX-S4P3-1226-SM-4AD4Y	Colon - Transverse	50-59	F
GTEX-S4P3-1326-SM-4AD6V	Breast - Mammary Tissue	50-59	F
GTEX-S4P3-1526-SM-3K2AV	Adipose - Subcutaneous	50-59	F
GTEX-S4P3-1626-SM-2XUAB	Muscle - Skeletal	50-59	F
GTEX-S4P3-1626-SM-3K2AZ	Muscle - Skeletal	50-59	F
GTEX-S4P3-1826-SM-2XU8N	Artery - Tibial	50-59	F
GTEX-S4P3-1826-SM-3K2AL	Artery - Tibial	50-59	F
GTEX-S4Q7-0001-SM-2VCU1	Whole Blood	20-29	M
GTEX-S4Q7-0001-SM-2XK2L	Whole Blood	20-29	M
GTEX-S4Q7-0001-SM-3UZFN	Whole Blood	20-29	M
GTEX-S4Q7-0001-SM-5JK3A	Whole Blood	20-29	M
GTEX-S4Q7-0003-SM-3NM8M	Cells - EBV-transformed lymphocytes	20-29	M
GTEX-S4Q7-0006-SM-2XUA8	Whole Blood	20-29	M
GTEX-S4Q7-0006-SM-3K2AT	Whole Blood	20-29	M
GTEX-S4Q7-0008-SM-3NM8A	Cells - Transformed fibroblasts	20-29	M
GTEX-S4Q7-0126-SM-4AD5P	Spleen	20-29	M
GTEX-S4Q7-0226-SM-4AD5O	Adrenal Gland	20-29	M
GTEX-S4Q7-0326-SM-2XUAU	Thyroid	20-29	M
GTEX-S4Q7-0326-SM-3K2B1	Thyroid	20-29	M
GTEX-S4Q7-0426-SM-2XUAZ	Lung	20-29	M
GTEX-S4Q7-0426-SM-3K2BJ	Lung	20-29	M
GTEX-S4Q7-0526-SM-4AD5N	Esophagus - Muscularis	20-29	M
GTEX-S4Q7-0626-SM-4AD5M	Esophagus - Mucosa	20-29	M
GTEX-S4Q7-0726-SM-4AD5F	Stomach	20-29	M
GTEX-S4Q7-0826-SM-4AD5E	Colon - Transverse	20-29	M
GTEX-S4Q7-0926-SM-4AD5D	Bladder	20-29	M
GTEX-S4Q7-1026-SM-4AD75	Prostate	20-29	M
GTEX-S4Q7-1126-SM-4AD6R	Breast - Mammary Tissue	20-29	M
GTEX-S4Q7-1226-SM-4AD5I	Testis	20-29	M
GTEX-S4Q7-1326-SM-4AD74	Artery - Tibial	20-29	M
GTEX-S4Q7-1426-SM-2XU8I	Nerve - Tibial	20-29	M
GTEX-S4Q7-1426-SM-3K2B9	Nerve - Tibial	20-29	M
GTEX-S4Q7-1526-SM-2XU9C	Muscle - Skeletal	20-29	M
GTEX-S4Q7-1526-SM-3K2AG	Muscle - Skeletal	20-29	M
GTEX-S4Q7-1626-SM-2XU8B	Adipose - Subcutaneous	20-29	M
GTEX-S4Q7-1626-SM-3K2AE	Adipose - Subcutaneous	20-29	M
GTEX-S4UY-0003-SM-2VCTU	Whole Blood	40-49	F
GTEX-S4UY-0003-SM-2XK2Q	Whole Blood	40-49	F
GTEX-S4UY-0003-SM-4X61Q	Whole Blood	40-49	F
GTEX-S4UY-0003-SM-5JK3Y	Whole Blood	40-49	F
GTEX-S4UY-0006-SM-3K2A7	Whole Blood	40-49	F
GTEX-S4UY-0008-SM-3NM8H	Cells - Transformed fibroblasts	40-49	F
GTEX-S4UY-0126-SM-2XU9R	Skin - Sun Exposed (Lower leg)	40-49	F
GTEX-S4UY-0126-SM-3K2BB	Skin - Sun Exposed (Lower leg)	40-49	F
GTEX-S4UY-0226-SM-3K2AP	Adipose - Subcutaneous	40-49	F
GTEX-S4UY-0426-SM-2XU8M	Artery - Tibial	40-49	F
GTEX-S4UY-0426-SM-3K2AF	Artery - Tibial	40-49	F
GTEX-S4UY-0526-SM-2XUA3	Muscle - Skeletal	40-49	F
GTEX-S4UY-0526-SM-3K2AN	Muscle - Skeletal	40-49	F
GTEX-S4UY-0626-SM-2XUAQ	Thyroid	40-49	F
GTEX-S4UY-0626-SM-3K2AO	Thyroid	40-49	F
GTEX-S4UY-0726-SM-4AD6X	Breast - Mammary Tissue	40-49	F
GTEX-S4UY-0826-SM-4AD4Z	Colon - Transverse	40-49	F
GTEX-S4UY-0926-SM-4AD6O	Bladder	40-49	F
GTEX-S4UY-1026-SM-4AD53	Ovary	40-49	F
GTEX-S4UY-1226-SM-4AD51	Uterus	40-49	F
GTEX-S4UY-1326-SM-4AD4X	Vagina	40-49	F
GTEX-S4UY-1426-SM-4AD6Y	Cervix - Ectocervix	40-49	F
GTEX-S4UY-1626-SM-4AD55	Stomach	40-49	F
GTEX-S4Z8-0003-SM-2VCTZ	Whole Blood	60-69	M
GTEX-S4Z8-0003-SM-2XK2M	Whole Blood	60-69	M
GTEX-S4Z8-0003-SM-4X62P	Whole Blood	60-69	M
GTEX-S4Z8-0003-SM-5JK3I	Whole Blood	60-69	M
GTEX-S4Z8-0006-SM-2XU8E	Whole Blood	60-69	M
GTEX-S4Z8-0006-SM-3K2AQ	Whole Blood	60-69	M
GTEX-S4Z8-0008-SM-33HAZ	Cells - Transformed fibroblasts	60-69	M
GTEX-S4Z8-0126-SM-4GICC	Adrenal Gland	60-69	M
GTEX-S4Z8-0226-SM-4AD5K	Spleen	60-69	M
GTEX-S4Z8-0326-SM-2XUAS	Thyroid	60-69	M
GTEX-S4Z8-0326-SM-3K2AU	Thyroid	60-69	M
GTEX-S4Z8-0426-SM-2XUA2	Lung	60-69	M
GTEX-S4Z8-0426-SM-3K2AH	Lung	60-69	M
GTEX-S4Z8-0526-SM-4AD4T	Liver	60-69	M
GTEX-S4Z8-0626-SM-4AD6J	Artery - Aorta	60-69	M
GTEX-S4Z8-0726-SM-4GICB	Esophagus - Muscularis	60-69	M
GTEX-S4Z8-0826-SM-4AD4J	Esophagus - Mucosa	60-69	M
GTEX-S4Z8-0926-SM-4AD6Q	Artery - Coronary	60-69	M
GTEX-S4Z8-1026-SM-2XUAL	Heart - Left Ventricle	60-69	M
GTEX-S4Z8-1226-SM-4AD6W	Stomach	60-69	M
GTEX-S4Z8-1726-SM-2XU8V	Adipose - Subcutaneous	60-69	M
GTEX-S4Z8-1726-SM-3K2AX	Adipose - Subcutaneous	60-69	M
GTEX-S4Z8-1826-SM-2XU9S	Muscle - Skeletal	60-69	M
GTEX-S4Z8-1826-SM-3K2BH	Muscle - Skeletal	60-69	M
GTEX-S4Z8-1926-SM-2XU8Q	Nerve - Tibial	60-69	M
GTEX-S4Z8-1926-SM-3K2AR	Nerve - Tibial	60-69	M
GTEX-S4Z8-2026-SM-2XU8K	Artery - Tibial	60-69	M
GTEX-S4Z8-2026-SM-3K2A9	Artery - Tibial	60-69	M
GTEX-S4Z8-2126-SM-4AD5H	Testis	60-69	M
GTEX-S7PM-0006-SM-3NM8C	Whole Blood	60-69	M
GTEX-S7PM-0008-SM-3NM9Q	Cells - Transformed fibroblasts	60-69	M
GTEX-S7PM-0011-R5A-SM-3NM8G	Brain - Caudate (basal ganglia)	60-69	M
GTEX-S7PM-0011-R6A-SM-3NM8F	Brain - Nucleus accumbens (basal ganglia)	60-69	M
GTEX-S7PM-0126-SM-4AD6S	Skin - Sun Exposed (Lower leg)	60-69	M
GTEX-S7PM-0426-SM-3NM91	Artery - Tibial	60-69	M
GTEX-S7PM-0526-SM-3NM92	Muscle - Skeletal	60-69	M
GTEX-S7PM-0626-SM-4AD4Q	Testis	60-69	M
GTEX-S7PM-0926-SM-3PYK3	Lung	60-69	M
GTEX-S7PM-0926-SM-3PZ76	Lung	60-69	M
GTEX-S7PM-0926-SM-4X617	Lung	60-69	M
GTEX-S7PM-0926-SM-5JK36	Lung	60-69	M
GTEX-S7SE-0004-SM-2XK2B	Whole Blood	50-59	M
GTEX-S7SE-0004-SM-325A3	Whole Blood	50-59	M
GTEX-S7SE-0004-SM-325HK	Whole Blood	50-59	M
GTEX-S7SE-0004-SM-3USS8	Whole Blood	50-59	M
GTEX-S7SE-0004-SM-5JK4E	Whole Blood	50-59	M
GTEX-S7SE-0005-SM-2XCEA	Whole Blood	50-59	M
GTEX-S7SE-0005-SM-2XV5X	Whole Blood	50-59	M
GTEX-S7SE-0008-SM-33HB1	Cells - Transformed fibroblasts	50-59	M
GTEX-S7SE-0011-R10A-SM-2XCDF	Brain - Frontal Cortex (BA9)	50-59	M
GTEX-S7SE-0011-R10A-SM-2XV6P	Brain - Frontal Cortex (BA9)	50-59	M
GTEX-S7SE-0011-R11A-SM-2XCDD	Brain - Cerebellar Hemisphere	50-59	M
GTEX-S7SE-0011-R11A-SM-2XV71	Brain - Cerebellar Hemisphere	50-59	M
GTEX-S7SE-0011-R1A-SM-2XCDE	Brain - Hippocampus	50-59	M
GTEX-S7SE-0011-R1A-SM-2XV6O	Brain - Hippocampus	50-59	M
GTEX-S7SE-0011-R2A-SM-2XCDC	Brain - Substantia nigra	50-59	M
GTEX-S7SE-0011-R2A-SM-2XV69	Brain - Substantia nigra	50-59	M
GTEX-S7SE-0011-R4A-SM-2XCDB	Brain - Amygdala	50-59	M
GTEX-S7SE-0011-R4A-SM-2XV6H	Brain - Amygdala	50-59	M
GTEX-S7SE-0011-R5A-SM-2XCDA	Brain - Caudate (basal ganglia)	50-59	M
GTEX-S7SE-0011-R5A-SM-2XV6C	Brain - Caudate (basal ganglia)	50-59	M
GTEX-S7SE-0011-R6A-SM-2XCD9	Brain - Nucleus accumbens (basal ganglia)	50-59	M
GTEX-S7SE-0011-R6A-SM-2XV62	Brain - Nucleus accumbens (basal ganglia)	50-59	M
GTEX-S7SE-0011-R7A-SM-2XCDI	Brain - Putamen (basal ganglia)	50-59	M
GTEX-S7SE-0011-R7A-SM-2XV6D	Brain - Putamen (basal ganglia)	50-59	M
GTEX-S7SE-0011-R8A-SM-2XCDG	Brain - Hypothalamus	50-59	M
GTEX-S7SE-0011-R8A-SM-2XV6X	Brain - Hypothalamus	50-59	M
GTEX-S7SE-0126-SM-2XCD5	Skin - Sun Exposed (Lower leg)	50-59	M
GTEX-S7SE-0126-SM-2XV4Z	Skin - Sun Exposed (Lower leg)	50-59	M
GTEX-S7SE-0226-SM-2XCD4	Adipose - Subcutaneous	50-59	M
GTEX-S7SE-0326-SM-4AT5Q	Testis	50-59	M
GTEX-S7SE-0526-SM-2XCD8	Artery - Tibial	50-59	M
GTEX-S7SE-0526-SM-2XV4N	Artery - Tibial	50-59	M
GTEX-S7SE-0726-SM-2XCD7	Thyroid	50-59	M
GTEX-S7SE-0726-SM-2XV5T	Thyroid	50-59	M
GTEX-S7SE-0826-SM-4AT4D	Breast - Mammary Tissue	50-59	M
GTEX-S7SE-0926-SM-2XCD6	Lung	50-59	M
GTEX-S7SE-0926-SM-2XV63	Lung	50-59	M
GTEX-S7SE-2526-SM-2XCDL	Brain - Cerebellum	50-59	M
GTEX-S7SE-2526-SM-2XV6R	Brain - Cerebellum	50-59	M
GTEX-S7SF-0001-SM-2XV74	Cells - EBV-transformed lymphocytes	20-29	F
GTEX-S7SF-0001-SM-3K2BE	Cells - EBV-transformed lymphocytes	20-29	F
GTEX-S7SF-0003-SM-2VCU4	Whole Blood	20-29	F
GTEX-S7SF-0003-SM-2XK2H	Whole Blood	20-29	F
GTEX-S7SF-0003-SM-3USSM	Whole Blood	20-29	F
GTEX-S7SF-0006-SM-2XUAD	Whole Blood	20-29	F
GTEX-S7SF-0006-SM-3K2B6	Whole Blood	20-29	F
GTEX-S7SF-0008-SM-3NM8T	Cells - Transformed fibroblasts	20-29	F
GTEX-S7SF-0226-SM-2XUAJ	Thyroid	20-29	F
GTEX-S7SF-0226-SM-3K2BI	Thyroid	20-29	F
GTEX-S7SF-0226-SM-5SI7H	Thyroid	20-29	F
GTEX-S7SF-0426-SM-2XUAV	Lung	20-29	F
GTEX-S7SF-0426-SM-3K2B7	Lung	20-29	F
GTEX-S7SF-0526-SM-2XUAI	Heart - Left Ventricle	20-29	F
GTEX-S7SF-0526-SM-3K2BC	Heart - Left Ventricle	20-29	F
GTEX-S7SF-0626-SM-4AD4V	Stomach	20-29	F
GTEX-S7SF-0826-SM-4AD4W	Uterus	20-29	F
GTEX-S7SF-0926-SM-4AD4M	Esophagus - Mucosa	20-29	F
GTEX-S7SF-1026-SM-4AD4I	Esophagus - Muscularis	20-29	F
GTEX-S7SF-1326-SM-4AD4P	Ovary	20-29	F
GTEX-S7SF-1426-SM-4AT5A	Vagina	20-29	F
GTEX-S7SF-1626-SM-2XU9K	Skin - Sun Exposed (Lower leg)	20-29	F
GTEX-S7SF-1626-SM-3K2AY	Skin - Sun Exposed (Lower leg)	20-29	F
GTEX-S7SF-1826-SM-3K2AD	Adipose - Subcutaneous	20-29	F
GTEX-S7SF-1926-SM-4AT5B	Colon - Transverse	20-29	F
GTEX-S7SF-2026-SM-2XU9J	Muscle - Skeletal	20-29	F
GTEX-S7SF-2026-SM-3K2AS	Muscle - Skeletal	20-29	F
GTEX-S7SF-2126-SM-3K2B2	Nerve - Tibial	20-29	F
GTEX-S7SF-2226-SM-2XU93	Artery - Tibial	20-29	F
GTEX-S7SF-2226-SM-3K2BG	Artery - Tibial	20-29	F
GTEX-S95S-0002-SM-3NM8K	Cells - EBV-transformed lymphocytes	60-69	M
GTEX-S95S-0004-SM-325A4	Whole Blood	60-69	M
GTEX-S95S-0004-SM-325HJ	Whole Blood	60-69	M
GTEX-S95S-0004-SM-4X613	Whole Blood	60-69	M
GTEX-S95S-0004-SM-5JK3U	Whole Blood	60-69	M
GTEX-S95S-0005-SM-2XCEC	Whole Blood	60-69	M
GTEX-S95S-0005-SM-2XV5N	Whole Blood	60-69	M
GTEX-S95S-0008-SM-4AT5M	Cells - Transformed fibroblasts	60-69	M
GTEX-S95S-0226-SM-4B656	Artery - Aorta	60-69	M
GTEX-S95S-0326-SM-4B66U	Esophagus - Muscularis	60-69	M
GTEX-S95S-0426-SM-4B64I	Esophagus - Mucosa	60-69	M
GTEX-S95S-0726-SM-4B64H	Pancreas	60-69	M
GTEX-S95S-0826-SM-4B64N	Stomach	60-69	M
GTEX-S95S-1026-SM-4B64M	Prostate	60-69	M
GTEX-S95S-1126-SM-4B64E	Testis	60-69	M
GTEX-S95S-1226-SM-4GICG	Skin - Sun Exposed (Lower leg)	60-69	M
GTEX-S95S-1326-SM-2XCDK	Adipose - Subcutaneous	60-69	M
GTEX-S95S-1426-SM-2XCDM	Muscle - Skeletal	60-69	M
GTEX-S95S-1426-SM-2XV5A	Muscle - Skeletal	60-69	M
GTEX-S95S-1526-SM-2XCDH	Nerve - Tibial	60-69	M
GTEX-S95S-1526-SM-2XV56	Nerve - Tibial	60-69	M
GTEX-S95S-1626-SM-2XCDJ	Artery - Tibial	60-69	M
GTEX-S95S-1626-SM-2XV5P	Artery - Tibial	60-69	M
GTEX-SE5C-0003-SM-325AC	Whole Blood	40-49	F
GTEX-SE5C-0003-SM-325HT	Whole Blood	40-49	F
GTEX-SE5C-0003-SM-4X61V	Whole Blood	40-49	F
GTEX-SE5C-0006-SM-4BRW5	Whole Blood	40-49	F
GTEX-SE5C-0008-SM-4B64J	Cells - Transformed fibroblasts	40-49	F
GTEX-SE5C-0326-SM-4BRWX	Pancreas	40-49	F
GTEX-SE5C-0426-SM-4BRUI	Artery - Coronary	40-49	F
GTEX-SE5C-0526-SM-2XCE1	Lung	40-49	F
GTEX-SE5C-0526-SM-2XV6Y	Lung	40-49	F
GTEX-SE5C-0626-SM-2XCDV	Heart - Left Ventricle	40-49	F
GTEX-SE5C-0626-SM-3P5ZJ	Heart - Left Ventricle	40-49	F
GTEX-SE5C-0626-SM-4IHLJ	Heart - Left Ventricle	40-49	F
GTEX-SE5C-0726-SM-4BRWY	Thyroid	40-49	F
GTEX-SE5C-0926-SM-4BRUF	Fallopian Tube	40-49	F
GTEX-SE5C-1026-SM-4BRUG	Bladder	40-49	F
GTEX-SE5C-1126-SM-4BRWZ	Vagina	40-49	F
GTEX-SE5C-1226-SM-4BRWV	Esophagus - Mucosa	40-49	F
GTEX-SE5C-1326-SM-4BRUH	Esophagus - Muscularis	40-49	F
GTEX-SE5C-1526-SM-4BRWU	Colon - Transverse	40-49	F
GTEX-SE5C-1826-SM-2XCE4	Muscle - Skeletal	40-49	F
GTEX-SE5C-2126-SM-4BRUJ	Breast - Mammary Tissue	40-49	F
GTEX-SIU7-0001-SM-3NMAW	Cells - EBV-transformed lymphocytes	50-59	M
GTEX-SIU7-0002-SM-2VCU5	Whole Blood	50-59	M
GTEX-SIU7-0002-SM-2XK2N	Whole Blood	50-59	M
GTEX-SIU7-0002-SM-4SVPJ	Whole Blood	50-59	M
GTEX-SIU7-0002-SM-5JK4G	Whole Blood	50-59	M
GTEX-SIU7-0006-SM-2XCE6	Whole Blood	50-59	M
GTEX-SIU7-0226-SM-4BRX2	Artery - Coronary	50-59	M
GTEX-SIU7-0426-SM-2XCDX	Heart - Left Ventricle	50-59	M
GTEX-SIU7-0426-SM-2XV6U	Heart - Left Ventricle	50-59	M
GTEX-SIU7-0526-SM-2XV5V	Lung	50-59	M
GTEX-SIU7-0526-SM-3NM8I	Lung	50-59	M
GTEX-SIU7-0926-SM-4BRX1	Pancreas	50-59	M
GTEX-SIU7-1126-SM-2XCDW	Thyroid	50-59	M
GTEX-SIU7-1126-SM-2XV72	Thyroid	50-59	M
GTEX-SIU7-1326-SM-2VCU7	Esophagus - Muscularis	50-59	M
GTEX-SIU7-1326-SM-2XK3D	Esophagus - Muscularis	50-59	M
GTEX-SIU7-1326-SM-4BRWW	Esophagus - Muscularis	50-59	M
GTEX-SIU7-1426-SM-4BRWT	Stomach	50-59	M
GTEX-SIU7-1526-SM-4BRWQ	Testis	50-59	M
GTEX-SIU7-1626-SM-4BRUK	Breast - Mammary Tissue	50-59	M
GTEX-SIU7-1726-SM-2XCDZ	Skin - Sun Exposed (Lower leg)	50-59	M
GTEX-SIU7-1726-SM-2XV4K	Skin - Sun Exposed (Lower leg)	50-59	M
GTEX-SIU7-1826-SM-2VCU6	Muscle - Skeletal	50-59	M
GTEX-SIU7-1826-SM-2XCE2	Muscle - Skeletal	50-59	M
GTEX-SIU7-1826-SM-2XK3C	Muscle - Skeletal	50-59	M
GTEX-SIU7-1826-SM-2XV6Z	Muscle - Skeletal	50-59	M
GTEX-SIU8-0002-SM-325AJ	Whole Blood	50-59	M
GTEX-SIU8-0002-SM-325HY	Whole Blood	50-59	M
GTEX-SIU8-0002-SM-4SVQ6	Whole Blood	50-59	M
GTEX-SIU8-0002-SM-5JK47	Whole Blood	50-59	M
GTEX-SIU8-0006-SM-2XCE5	Whole Blood	50-59	M
GTEX-SIU8-0006-SM-2XV6N	Whole Blood	50-59	M
GTEX-SIU8-0008-SM-4BRUC	Cells - Transformed fibroblasts	50-59	M
GTEX-SIU8-0126-SM-2XCDT	Skin - Sun Exposed (Lower leg)	50-59	M
GTEX-SIU8-0126-SM-2XV58	Skin - Sun Exposed (Lower leg)	50-59	M
GTEX-SIU8-0226-SM-2XCDS	Adipose - Subcutaneous	50-59	M
GTEX-SIU8-0226-SM-2XV4Q	Adipose - Subcutaneous	50-59	M
GTEX-SIU8-0326-SM-2XCDR	Nerve - Tibial	50-59	M
GTEX-SIU8-0326-SM-2XV4V	Nerve - Tibial	50-59	M
GTEX-SIU8-0426-SM-4BRUE	Artery - Tibial	50-59	M
GTEX-SIU8-0526-SM-2XCDP	Muscle - Skeletal	50-59	M
GTEX-SIU8-0526-SM-2XV5O	Muscle - Skeletal	50-59	M
GTEX-SIU8-0626-SM-2XCDN	Thyroid	50-59	M
GTEX-SIU8-0626-SM-2XV5R	Thyroid	50-59	M
GTEX-SIU8-0826-SM-2XCDQ	Heart - Left Ventricle	50-59	M
GTEX-SIU8-0826-SM-2XV65	Heart - Left Ventricle	50-59	M
GTEX-SIU8-0926-SM-2XCDO	Lung	50-59	M
GTEX-SIU8-0926-SM-2XV6Q	Lung	50-59	M
GTEX-SIU8-0926-SM-5SI87	Lung	50-59	M
GTEX-SJXC-0003-SM-325AA	Whole Blood	60-69	M
GTEX-SJXC-0003-SM-325HP	Whole Blood	60-69	M
GTEX-SJXC-0003-SM-4SVPY	Whole Blood	60-69	M
GTEX-SJXC-0005-SM-2XCE7	Whole Blood	60-69	M
GTEX-SJXC-0005-SM-2XV6A	Whole Blood	60-69	M
GTEX-SJXC-0008-SM-4DM7G	Cells - Transformed fibroblasts	60-69	M
GTEX-SJXC-0126-SM-2XCFF	Skin - Sun Exposed (Lower leg)	60-69	M
GTEX-SJXC-0126-SM-2XV4I	Skin - Sun Exposed (Lower leg)	60-69	M
GTEX-SJXC-0226-SM-2XCDU	Adipose - Subcutaneous	60-69	M
GTEX-SJXC-0326-SM-2XCFI	Nerve - Tibial	60-69	M
GTEX-SJXC-0326-SM-2XV4O	Nerve - Tibial	60-69	M
GTEX-SJXC-0426-SM-2XCFH	Artery - Tibial	60-69	M
GTEX-SJXC-0426-SM-2XV53	Artery - Tibial	60-69	M
GTEX-SJXC-0526-SM-2XCFG	Muscle - Skeletal	60-69	M
GTEX-SJXC-0526-SM-2XV57	Muscle - Skeletal	60-69	M
GTEX-SJXC-0726-SM-2XCFJ	Thyroid	60-69	M
GTEX-SJXC-0726-SM-2XV6M	Thyroid	60-69	M
GTEX-SJXC-1126-SM-4DM6Y	Artery - Aorta	60-69	M
GTEX-SJXC-1226-SM-4DM78	Liver	60-69	M
GTEX-SJXC-2026-SM-4DM6N	Prostate	60-69	M
GTEX-SN8G-0001-SM-3NM8L	Cells - EBV-transformed lymphocytes	50-59	F
GTEX-SN8G-0002-SM-325AH	Whole Blood	50-59	F
GTEX-SN8G-0002-SM-325HX	Whole Blood	50-59	F
GTEX-SN8G-0002-SM-4SVRA	Whole Blood	50-59	F
GTEX-SN8G-0002-SM-5JK4B	Whole Blood	50-59	F
GTEX-SN8G-0006-SM-32PLD	Whole Blood	50-59	F
GTEX-SN8G-0008-SM-4DM4X	Cells - Transformed fibroblasts	50-59	F
GTEX-SN8G-0126-SM-32PLI	Skin - Sun Exposed (Lower leg)	50-59	F
GTEX-SN8G-0226-SM-4DM6B	Adipose - Subcutaneous	50-59	F
GTEX-SN8G-0326-SM-32PLG	Muscle - Skeletal	50-59	F
GTEX-SN8G-0426-SM-32PLF	Nerve - Tibial	50-59	F
GTEX-SN8G-0526-SM-32PLE	Artery - Tibial	50-59	F
GTEX-SN8G-0926-SM-4DM5I	Lung	50-59	F
GTEX-SN8G-1526-SM-4DM79	Thyroid	50-59	F
GTEX-SNMC-0004-SM-2XJZO	Whole Blood	20-29	M
GTEX-SNMC-0004-SM-3259Z	Whole Blood	20-29	M
GTEX-SNMC-0004-SM-325HH	Whole Blood	20-29	M
GTEX-SNMC-0004-SM-4X61G	Whole Blood	20-29	M
GTEX-SNMC-0006-SM-2XCFE	Whole Blood	20-29	M
GTEX-SNMC-0006-SM-2XV4M	Whole Blood	20-29	M
GTEX-SNMC-0008-SM-4DM5A	Cells - Transformed fibroblasts	20-29	M
GTEX-SNMC-0126-SM-2XCFO	Heart - Left Ventricle	20-29	M
GTEX-SNMC-0126-SM-2XV6G	Heart - Left Ventricle	20-29	M
GTEX-SNMC-0226-SM-4DM6F	Artery - Coronary	20-29	M
GTEX-SNMC-0426-SM-4DM5Y	Esophagus - Muscularis	20-29	M
GTEX-SNMC-0526-SM-4DM69	Esophagus - Mucosa	20-29	M
GTEX-SNMC-0626-SM-4DM6H	Stomach	20-29	M
GTEX-SNMC-0826-SM-4DM66	Bladder	20-29	M
GTEX-SNMC-0926-SM-4DM5U	Prostate	20-29	M
GTEX-SNMC-1026-SM-4DM7K	Testis	20-29	M
GTEX-SNMC-1126-SM-4DM5M	Colon - Transverse	20-29	M
GTEX-SNMC-1226-SM-2XCFP	Skin - Sun Exposed (Lower leg)	20-29	M
GTEX-SNMC-1226-SM-2XV54	Skin - Sun Exposed (Lower leg)	20-29	M
GTEX-SNMC-1326-SM-2XCFK	Adipose - Subcutaneous	20-29	M
GTEX-SNMC-1426-SM-2XCFM	Muscle - Skeletal	20-29	M
GTEX-SNMC-1426-SM-2XV6L	Muscle - Skeletal	20-29	M
GTEX-SNMC-1526-SM-2XCFN	Artery - Tibial	20-29	M
GTEX-SNMC-1526-SM-2XV4X	Artery - Tibial	20-29	M
GTEX-SNMC-1626-SM-4DM52	Nerve - Tibial	20-29	M
GTEX-SNOS-0003-SM-3NMAO	Cells - EBV-transformed lymphocytes	40-49	M
GTEX-SNOS-0004-SM-325AE	Whole Blood	40-49	M
GTEX-SNOS-0004-SM-325HU	Whole Blood	40-49	M
GTEX-SNOS-0004-SM-4X61S	Whole Blood	40-49	M
GTEX-SNOS-0004-SM-5SOEL	Whole Blood	40-49	M
GTEX-SNOS-0006-SM-32PLH	Whole Blood	40-49	M
GTEX-SNOS-0008-SM-4DM6I	Cells - Transformed fibroblasts	40-49	M
GTEX-SNOS-0226-SM-32PLR	Thyroid	40-49	M
GTEX-SNOS-0326-SM-4DM6C	Artery - Aorta	40-49	M
GTEX-SNOS-0426-SM-32PMH	Lung	40-49	M
GTEX-SNOS-0526-SM-4DM54	Bladder	40-49	M
GTEX-SNOS-0626-SM-4DM5F	Esophagus - Mucosa	40-49	M
GTEX-SNOS-0726-SM-4DM5Z	Esophagus - Muscularis	40-49	M
GTEX-SNOS-0826-SM-4DM5N	Stomach	40-49	M
GTEX-SNOS-0926-SM-4DM7A	Pancreas	40-49	M
GTEX-SNOS-1026-SM-4DM4Y	Prostate	40-49	M
GTEX-SNOS-1126-SM-4DM67	Testis	40-49	M
GTEX-SNOS-1226-SM-4DM5H	Colon - Transverse	40-49	M
GTEX-SNOS-1426-SM-32PLY	Adipose - Subcutaneous	40-49	M
GTEX-SNOS-1526-SM-32PLW	Muscle - Skeletal	40-49	M
GTEX-SNOS-1626-SM-3NMA4	Nerve - Tibial	40-49	M
GTEX-SNOS-1726-SM-32PLN	Artery - Tibial	40-49	M
GTEX-SSA3-0001-SM-325A5	Whole Blood	60-69	M
GTEX-SSA3-0001-SM-325HL	Whole Blood	60-69	M
GTEX-SSA3-0001-SM-3USRH	Whole Blood	60-69	M
GTEX-SSA3-0001-SM-5URCI	Whole Blood	60-69	M
GTEX-SSA3-0002-SM-3P61R	Cells - EBV-transformed lymphocytes	60-69	M
